date,symbol,volume,transaction,open,high,low,close
2025-12-10,3481,53170906,9659,14.15,14.2,13.65,13.85
2025-12-10,2498,44624702,21276,52.6,55.2,50.7,50.9
2025-12-11,2344,288345883,130071,69.6,70.5,67.5,68.4
2025-12-11,6770,149124741,61747,35.2,35.5,33.8,33.8
2025-12-11,00981A,136725091,28874,16.5,16.58,16.32,16.33
2025-12-11,1802,133914484,59659,38.55,38.8,37.4,37.4
2025-12-11,6443,104371203,34876,17.45,17.6,15.9,17.5
2025-12-11,2883,102656633,21655,16.65,16.95,16.6,16.95
2025-12-11,8110,102355987,43523,50.1,54.1,49.25,54.1
2025-12-11,0050,101197570,110925,64.3,64.5,63.2,63.35
2025-12-11,2337,84411900,40251,37.55,37.8,36.3,36.4
2025-12-11,0052,83069313,57053,37.28,37.28,36.44,36.55
2025-12-11,00919,79527747,24224,21.98,22.01,21.9,21.96
2025-12-11,8021,74575796,66769,156.0,166.5,154.0,166.5
2025-12-11,1303,73179542,41150,61.8,62.1,59.7,59.9
2025-12-11,2402,72477267,34616,68.0,68.6,62.0,62.8
2025-12-11,3715,70195778,47048,119.0,127.0,117.0,121.5
2025-12-11,00982A,66886239,12846,14.14,14.2,14.0,14.04
2025-12-11,00632R,65904876,6890,16.7,16.96,16.7,16.95
2025-12-11,2317,60054527,89601,234.0,234.5,226.0,226.0
2025-12-11,3481,59154681,11435,13.95,14.0,13.45,13.5
2025-12-11,2887,54517465,8274,19.3,19.35,19.15,19.25
2025-12-12,2344,543798403,216661,69.2,75.2,68.5,74.6
2025-12-12,8110,314670878,143365,56.0,59.5,54.5,54.6
2025-12-12,6770,222708400,74678,34.0,35.8,34.0,35.1
2025-12-12,2337,159282606,63411,36.4,39.2,36.3,38.1
2025-12-12,00919,139207533,33273,22.05,22.25,22.04,22.17
2025-12-12,1605,130253713,51446,29.8,32.0,29.8,31.85
2025-12-12,8021,100720253,61403,167.5,171.0,162.0,162.5
2025-12-12,2887,96605558,12270,19.3,19.5,19.25,19.4
2025-12-12,6443,89382554,28185,17.9,19.25,17.6,19.25
2025-12-12,6282,83777373,43542,42.2,45.0,42.0,42.5
2025-12-12,00632R,78898525,4690,16.81,16.89,16.78,16.82
2025-12-12,00981A,78431267,15214,16.51,16.55,16.35,16.43
2025-12-12,2406,71622467,29150,26.65,27.3,25.05,27.0
2025-12-12,2485,65573677,31792,26.6,28.5,26.4,27.3
2025-12-12,1802,63442900,27591,37.4,37.9,37.0,37.3
2025-12-12,2323,63261812,15762,11.1,11.65,10.9,11.0
2025-12-12,0050,60240146,49189,63.55,63.8,63.3,63.45
2025-12-12,2371,59082998,32355,34.05,36.45,33.8,35.1
2025-12-12,00637L,55727956,3663,20.12,20.13,19.8,20.09
2025-12-12,2883,55022025,14565,17.0,17.15,16.9,17.05
2025-12-15,2344,427984064,188689,72.0,72.8,69.0,71.1
2025-12-15,8110,200291063,92398,52.7,58.4,52.3,55.5
2025-12-15,00919,143668767,42045,22.15,22.2,21.91,22.19
2025-12-15,00981A,139307938,37567,16.08,16.3,16.05,16.22
2025-12-15,6770,127423185,58276,34.3,35.25,33.1,34.95
2025-12-15,0050,114939409,134546,62.5,62.85,62.4,62.8
2025-12-15,00632R,106342425,6892,17.05,17.11,16.98,17.01
2025-12-15,2337,85192067,42384,36.95,38.45,35.85,37.95
2025-12-15,2887,73700769,12728,19.3,19.5,19.15,19.35
2025-12-15,1605,71652364,38583,31.35,32.0,30.8,30.9
2025-12-15,2485,67485908,31738,27.55,28.45,27.3,27.4
2025-12-15,1802,64994528,28952,36.25,36.65,35.7,35.85
2025-12-15,2313,56770128,38544,85.0,91.4,83.8,91.0
2025-12-15,2331,52860083,23648,25.15,26.5,24.5,26.1
2025-12-15,2002,52464268,18981,18.9,19.15,18.75,18.95
2025-12-15,2610,49750379,13452,19.4,20.1,19.35,19.8
2025-12-15,2884,49691776,16357,33.0,33.05,32.6,33.0
2025-12-15,0052,48708244,35702,35.91,36.09,35.88,36.05
2025-12-15,8021,47230799,32072,159.0,168.0,158.5,167.0
2025-12-15,2317,44481528,71295,221.0,223.0,220.5,221.5
2025-12-16,2887,435583104,42801,19.25,20.15,19.2,20.05
2025-12-16,2344,347382553,190491,70.0,71.9,68.8,70.6
2025-12-16,00981A,226227146,75254,16.11,16.15,15.67,15.87
2025-12-16,0050,169375708,211332,62.1,62.25,61.7,62.25
2025-12-16,00919,154417658,67221,21.67,21.67,21.45,21.64
2025-12-16,6770,123835171,49964,34.7,34.7,33.2,33.8
